Date,NIFTY50,ACC.NS,GODREJIND.NS,HINDZINC.NS,IDEA.NS,IGL.NS,LUPIN.NS,MAHABANK.NS,MGL.NS,PAGEIND.NS,TATACHEM.NS,HAVELLS.NS,HAL.NS,ICICIGI.NS,ICICIPRULI.NS,AMBUJACEM.NS,IOC.NS,NAUKRI.NS,INDIGO.NS,JINDALSTEL.NS,BANKBARODA.NS
2019-01-01,,1488.800048828125,543.5999755859375,277.8500061035156,22.7620792388916,271.6499938964844,841.4500122070312,15.399999618530273,912.4000244140625,24847.19921875,310.96484375,694.7999877929688,399.29998779296875,873.25,325.8999938964844,222.89999389648438,91.80000305175781,1439.0,1165.5999755859375,162.89999389648438,123.30000305175781
2019-01-02,10792.5,1483.949951171875,538.25,272.75,22.15911102294922,275.3500061035156,832.7999877929688,15.649999618530273,900.2000122070312,24591.150390625,309.00286865234375,691.7999877929688,399.95001220703125,875.4500122070312,319.79998779296875,218.9499969482422,91.5,1430.449951171875,1161.0,158.1999969482422,119.3499984741211
2019-01-03,10672.25,1452.25,532.25,269.5,21.767181396484375,274.29998779296875,821.0499877929688,15.100000381469727,890.8499755859375,23614.099609375,306.1811218261719,681.4000244140625,396.3999938964844,868.2000122070312,316.25,213.85000610351562,88.43333435058594,1490.3499755859375,1156.550048828125,146.5,119.30000305175781
2019-01-04,10727.349609375,1469.0999755859375,540.7000122070312,271.70001220703125,21.827478408813477,278.04998779296875,828.9000244140625,15.449999809265137,898.4000244140625,22663.0,307.9447021484375,678.5499877929688,407.3500061035156,866.9000244140625,324.70001220703125,216.5500030517578,89.30000305175781,1557.050048828125,1143.199951171875,152.35000610351562,121.69999694824219
2019-01-07,10771.7998046875,1477.949951171875,536.0,274.54998779296875,22.098814010620117,273.54998779296875,820.4500122070312,15.199999809265137,905.75,21907.55078125,308.5840148925781,693.5499877929688,394.7250061035156,865.4500122070312,319.95001220703125,218.0,88.96666717529297,1622.0,1113.75,152.1999969482422,122.69999694824219
2019-01-08,10802.150390625,1480.4000244140625,539.5499877929688,274.29998779296875,22.279705047607422,270.54998779296875,841.7000122070312,15.25,903.9500122070312,23021.599609375,308.5399169921875,669.7000122070312,394.75,864.2000122070312,324.45001220703125,218.6999969482422,89.33333587646484,1619.4000244140625,1110.300048828125,157.75,123.8499984741211
2019-01-09,10855.150390625,1454.1500244140625,537.7999877929688,275.45001220703125,22.279705047607422,266.20001220703125,838.1500244140625,15.199999809265137,897.1500244140625,23262.80078125,307.3715515136719,681.75,391.3999938964844,864.2000122070312,336.75,212.85000610351562,88.0,1628.699951171875,1104.8499755859375,151.8000030517578,122.94999694824219
2019-01-10,10821.599609375,1447.800048828125,543.25,275.95001220703125,22.370149612426758,266.5,838.0,15.050000190734863,899.75,23176.349609375,308.29742431640625,688.0499877929688,387.92498779296875,890.4000244140625,348.5,213.14999389648438,86.5999984741211,1586.0,1097.0,149.6999969482422,123.44999694824219
2019-01-11,10794.9501953125,1458.6500244140625,539.9500122070312,273.5,22.249555587768555,270.75,839.3499755859375,15.050000190734863,893.4000244140625,23356.0,307.6360778808594,688.0499877929688,387.8999938964844,885.0,356.54998779296875,212.85000610351562,87.46666717529297,1595.550048828125,1057.449951171875,148.8000030517578,121.1500015258789
2019-01-14,10737.599609375,1459.5999755859375,525.3499755859375,271.3999938964844,21.67673683166504,271.6499938964844,834.75,14.75,885.5,23817.75,305.5638732910156,688.5499877929688,386.2749938964844,862.3499755859375,350.5,214.85000610351562,88.19999694824219,1640.300048828125,1081.6500244140625,144.0,120.94999694824219
2019-01-15,10886.7998046875,1483.449951171875,527.0999755859375,273.0,21.85762596130371,272.3500061035156,849.7000122070312,14.649999618530273,899.5499877929688,23760.599609375,306.5779113769531,681.0999755859375,386.3999938964844,871.6500244140625,352.8500061035156,216.75,89.69999694824219,1679.550048828125,1082.949951171875,146.89999389648438,121.0999984741211
2019-01-16,10890.2998046875,1473.949951171875,529.0,272.6000061035156,21.94807243347168,274.70001220703125,863.2000122070312,14.949999809265137,897.8499755859375,23361.19921875,306.3795166015625,683.4500122070312,387.5,860.2999877929688,347.25,216.85000610351562,90.53333282470703,1677.3499755859375,1136.550048828125,146.64999389648438,121.0
2019-01-17,10905.2001953125,1455.1500244140625,527.8499755859375,271.75,22.279705047607422,277.20001220703125,868.75,14.800000190734863,899.9000244140625,23265.75,305.5859069824219,676.1500244140625,389.3500061035156,875.9000244140625,349.75,215.25,91.76666259765625,1622.8499755859375,1112.9000244140625,146.0500030517578,119.19999694824219
2019-01-18,10906.9501953125,1439.75,525.5999755859375,272.3999938964844,21.22450828552246,280.45001220703125,862.2999877929688,14.649999618530273,904.4500122070312,22969.69921875,305.8504333496094,677.5,392.25,861.4000244140625,351.1499938964844,212.64999389648438,91.9000015258789,1579.4000244140625,1076.0,145.64999389648438,118.0
2019-01-21,10961.849609375,1429.300048828125,524.6500244140625,267.54998779296875,19.807531356811523,287.04998779296875,866.6500244140625,14.5,906.5999755859375,22954.19921875,303.359375,677.7000122070312,388.2749938964844,850.9500122070312,351.6499938964844,212.3000030517578,90.43333435058594,1544.699951171875,1062.949951171875,144.3000030517578,116.44999694824219
2019-01-22,10922.75,1436.3499755859375,525.0499877929688,260.25,20.199462890625,282.79998779296875,865.4500122070312,14.199999809265137,906.0,22590.55078125,303.4475402832031,711.8499755859375,383.1000061035156,847.6500244140625,345.0,213.85000610351562,90.63333129882812,1632.1500244140625,1120.6500244140625,137.75,113.80000305175781
