Date,Sensex,WIPRO.BO,BAJAJ-AUTO.BO,HDFCBANK.BO,HEROMOTOCO.BO,TCS.BO,INFY.BO,BAJFINANCE.BO,MARUTI.BO,RELIANCE.BO,TATAMOTORS.BO,ZOMATO.BO,ZEEL.BO,TVSMOTOR.BO,PIDILITIND.BO,NAUKRI.BO,IRCTC.BO,DLF.BO,COLPAL.BO,MFSL.BO,BANKBARODA.BO
2019-01-01,,245.7375030517578,2724.60009765625,1073.7249755859375,3128.699951171875,1902.3499755859375,664.6500244140625,2656.199951171875,7477.60009765625,1121.3499755859375,173.60000610351562,,479.79998779296875,565.2000122070312,1101.050048828125,1440.4000244140625,,180.5500030517578,1325.199951171875,444.1499938964844,123.30000305175781
2019-01-02,35891.51953125,243.8249969482422,2689.39990234375,1062.9749755859375,3046.050048828125,1923.1500244140625,669.2999877929688,2616.5,7272.4501953125,1106.300048828125,168.5500030517578,,469.1000061035156,535.0,1107.3499755859375,1435.0,,172.89999389648438,1303.6500244140625,428.6499938964844,119.4000015258789
2019-01-03,35513.7109375,244.0500030517578,2700.39990234375,1056.125,3012.25,1896.449951171875,667.5499877929688,2587.949951171875,7203.89990234375,1091.75,166.1999969482422,,462.6499938964844,538.5999755859375,1109.199951171875,1496.5,,172.60000610351562,1315.550048828125,424.3500061035156,119.4000015258789
2019-01-04,35695.1015625,242.6999969482422,2734.64990234375,1058.875,2992.550048828125,1873.949951171875,660.75,2579.25,7237.39990234375,1099.050048828125,170.75,,464.79998779296875,540.5499877929688,1107.4000244140625,1554.1500244140625,,175.14999389648438,1311.75,441.5,121.55000305175781
2019-01-07,35850.16015625,243.14999389648438,2657.39990234375,1060.0,2959.35009765625,1896.6500244140625,671.1500244140625,2552.64990234375,7349.0,1103.449951171875,175.25,,462.45001220703125,535.4500122070312,1102.5999755859375,1620.3499755859375,,179.5500030517578,1304.5999755859375,436.3999938964844,122.19999694824219
2019-01-08,35980.9296875,244.3874969482422,2690.75,1051.425048828125,2974.800048828125,1893.050048828125,669.8499755859375,2535.050048828125,7421.35009765625,1103.949951171875,179.35000610351562,,451.54998779296875,533.6500244140625,1105.5,1622.6500244140625,,181.5,1308.9000244140625,435.1499938964844,123.80000305175781
2019-01-09,36212.91015625,246.8249969482422,2695.64990234375,1058.0999755859375,2940.449951171875,1887.800048828125,675.8499755859375,2525.10009765625,7465.85009765625,1108.4000244140625,183.10000610351562,,451.8999938964844,538.5,1099.4000244140625,1627.3499755859375,,182.0,1303.800048828125,439.54998779296875,123.05000305175781
2019-01-10,36106.5,244.91250610351562,2718.75,1054.7750244140625,2922.64990234375,1888.1500244140625,679.75,2515.85009765625,7385.9501953125,1105.6500244140625,185.5500030517578,,451.95001220703125,539.5999755859375,1114.9000244140625,1579.800048828125,,183.35000610351562,1325.0,458.45001220703125,123.4000015258789
2019-01-11,36009.83984375,246.0749969482422,2713.800048828125,1056.074951171875,2900.35009765625,1841.949951171875,683.7000122070312,2511.0,7319.7998046875,1097.9000244140625,180.3000030517578,,451.1000061035156,539.9500122070312,1108.25,1590.0,,182.0500030517578,1322.6500244140625,454.3500061035156,120.94999694824219
2019-01-14,35853.55859375,235.0124969482422,2700.14990234375,1050.425048828125,2867.300048828125,1814.4000244140625,700.9000244140625,2540.75,7402.5498046875,1096.449951171875,182.3000030517578,,448.29998779296875,535.5499877929688,1134.0,1634.0999755859375,,181.60000610351562,1305.1500244140625,446.8500061035156,121.0999984741211
2019-01-15,36318.328125,248.21249389648438,2725.300048828125,1060.5250244140625,2911.14990234375,1864.199951171875,726.5499877929688,2599.25,7349.5498046875,1129.550048828125,185.39999389648438,,456.70001220703125,543.6500244140625,1159.3499755859375,1685.3499755859375,,185.75,1323.800048828125,460.6499938964844,121.25
2019-01-16,36321.2890625,253.125,2717.10009765625,1060.0,2880.050048828125,1870.0999755859375,736.5499877929688,2572.949951171875,7305.25,1134.050048828125,185.3000030517578,,452.1000061035156,548.3499755859375,1153.25,1674.0,,182.9499969482422,1329.300048828125,452.3999938964844,121.0
2019-01-17,36374.078125,252.3000030517578,2726.35009765625,1064.5250244140625,2906.449951171875,1895.0999755859375,733.4000244140625,2535.60009765625,7333.7001953125,1133.75,184.8000030517578,,441.0,546.9500122070312,1152.800048828125,1622.1500244140625,,184.10000610351562,1324.25,457.0,119.1500015258789
2019-01-18,36386.609375,259.6499938964844,2716.550048828125,1065.5999755859375,2893.0,1900.4000244140625,731.0,2540.85009765625,7353.35009765625,1182.949951171875,183.10000610351562,,440.1499938964844,535.8499755859375,1151.550048828125,1576.75,,180.3000030517578,1309.699951171875,456.3999938964844,117.94999694824219
2019-01-21,36578.9609375,253.125,2685.449951171875,1073.2750244140625,2794.5,1905.800048828125,742.75,2588.89990234375,7200.9501953125,1234.5,181.39999389648438,,436.75,538.0499877929688,1154.6500244140625,1549.550048828125,,177.25,1312.9000244140625,439.0,116.44999694824219
2019-01-22,36444.640625,259.8374938964844,2683.949951171875,1067.175048828125,2823.85009765625,1900.3499755859375,744.3499755859375,2616.64990234375,7068.25,1234.75,180.4499969482422,,425.20001220703125,553.8499755859375,1152.5999755859375,1626.5999755859375,,179.4499969482422,1306.800048828125,436.5,113.8499984741211
2019-01-23,36108.46875,263.3999938964844,2677.39990234375,1054.875,2791.10009765625,1879.75,731.4500122070312,2633.050048828125,7042.14990234375,1225.699951171875,180.25,,432.79998779296875,531.7999877929688,1130.949951171875,1727.300048828125,,177.1999969482422,1306.949951171875,438.70001220703125,111.5999984741211
